WeightClassKg,Dots
30.0,128.762196969697
35.0,164.66394957983192
40.0,197.12085616438355
43.0,279.81810996563576
44.0,287.207454954955
47.0,303.6077463768116
48.0,292.45586007364545
52.0,303.30381773059423
53.0,278.0273976608187
55.5,97.58500000000001
56.0,307.1529684793904
57.0,314.05792236366494
58.5,129.79
59.0,311.5597446187523
60.0,313.3561965330932
63.0,310.2707361570468
66.0,328.4406137773425
67.5,316.57736590547
69.0,317.16007860262005
70.0,319.3073684210526
72.0,302.3525651563753
74.0,339.2875660438144
75.0,324.30073654660515
76.0,308.8125
80.0,401.91285714285715
82.5,325.5572145521484
83.0,340.6704516203172
84.0,285.1161264847512
90.0,325.0437985583668
92.0,217.46
93.0,341.83850974398166
94.0,231.05
100.0,319.8202883804302
105.0,336.7291681632067
110.0,322.52541424554823
120.0,319.62104273870784
125.0,315.9792117214533
136.0,452.39
140.0,332.8691580578512
144.5,132.2246153846154
145.0,363.8718918918919
